ID,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=0c4a502533e74aac,"Research Intern, 2021",Google 4.3 서울,,"Algorithmic Foundations of Optimization. Experience with Python, C++ and other general purpose program languages. Preferred..."
https://kr.indeed.com/viewjob?jk=7d155eed9eceae77,[빅데이터 분석] 인턴,레드테이블 서울 종로구,"월급 2,000,000원","음식.관광 분야에 배경지식을 갖추신 분 Python, R, SQL, 통계프로그램... 서서류전형, 면접전형/ 우대사항음식.관광 분야에 배경지식을 갖추신 분 Python, R, SQL, 통계프로그램 등을 활용하여 데이터 정제, 분석, 모델..."
https://kr.indeed.com/viewjob?jk=979279a9428ebc27,Data Mining Specialist,Thermo Fisher Scientific 3.5 서울,,"Preferably understanding of analytics and business intelligence technologies... R, Python, Power BI or MS AI solutions"
https://kr.indeed.com/viewjob?jk=d17da0baecf05910,데이터 분야 경력,LG CNS 3.7 서울,,"해가 뛰어난 자 - R, Python, SAS, SQL 등 활용 역량 우대사항(해당 내용 중 1개 이상) - ML/DL 경험 인력 우대 - 관련 분야 석사 이상 학위 소지자 우대 - R, Python등 데이터분석 모델링 경험..."
https://kr.indeed.com/viewjob?jk=c16db6828cb26848,"자바스크립트, Python 신입/경력 정규직",데이터누리 서울 강서구,,"(주)데이터누리 자바스크립트, Python 신입/경력 정규직 채용 모집부문 및 자격요건 담당업무 자격요건 인원 JAVA / Python 개발 [자격요건]경력... 래머>자바스크립트|인터넷·IT·통신·모바일·게임>응용프로그래머> Python"
https://kr.indeed.com/viewjob?jk=2b2dcd3ffe3d53df,카카오 데이터의 가치를 발굴할 데이터 분석가 모집,카카오 4.0 성남 판교역,,"기술 통계량 이해 및 해석) 데이터 분석 업무를 수행할 수 있는 언어 스킬 필수 SQL 필수 R 또는 Python을 다룰 수 있는 분 (SAS, SPSS, GA, tableau 등 통계 툴만 사용 가능한 경우 제외) 하둡..."
https://kr.indeed.com/viewjob?jk=464ad076ec3e1fa0,CHC – Business intelligence - TOM_2136,Sanofi 4.1 서울,,"degree in related field Business-level experience with R, Python Experience owning the analytics and performance of a large..."
https://kr.indeed.com/viewjob?jk=0b13f40659a2d097,[의료원]신규 교직원(정규직),고려대학교의료원 4.0 대한민국,,"경력 보유자 우대 전산관련 자격증(정보처리기사, DB 등) 소지자 우대 데이터 분석 툴(R, Python, SPSS 등) 운용 가능자 우대 사원 (사서) 0명 문헌정보학과 학사학위 이상 소지자 정사..."
https://kr.indeed.com/viewjob?jk=a64e1e21f61265ce,각 분야별 인재 Pool 등록,지투알 서울,,"자 - 데이터 분석 툴(Adobe Analytics 또는 Google Analytics) 유경험자 우대 - Python, R, SQL 역량 보유자 우대 - 데이터에 기반한 문제해결 능력 및 통계학적 지식 보유자 우대 - 담당..."
https://kr.indeed.com/viewjob?jk=e4e7e2e0d73f981f,Data Scientist,Barbaricum 경기도 평택,,"Tools, and Techniques Demonstrated proficiency with R or Python, and SQL to manipulate data and draw insights from large..."
